opportunity_id,program,sponsor,faculty_id,faculty_name,score,matched_keywords,rationale
opp-doe-cmma-ta2-2026,Critical Minerals & Materials Accelerator Topic Area 2,U.S. Department of Energy,fac-david-huitink,David Huitink,0.571,advanced materials; manufacturing; process technology; semiconductors,"David Huitink matches Critical Minerals & Materials Accelerator Topic Area 2 through shared terms: advanced materials, manufacturing, process technology, semiconductors."
opp-doe-cmma-ta2-2026,Critical Minerals & Materials Accelerator Topic Area 2,U.S. Department of Energy,fac-min-zou,Min Zou,0.429,advanced materials; critical materials; manufacturing,"Min Zou matches Critical Minerals & Materials Accelerator Topic Area 2 through shared terms: advanced materials, critical materials, manufacturing."
opp-doe-cmma-ta2-2026,Critical Minerals & Materials Accelerator Topic Area 2,U.S. Department of Energy,fac-xiangbo-meng,Xiangbo Meng,0.429,advanced materials; critical materials; semiconductors,"Xiangbo Meng matches Critical Minerals & Materials Accelerator Topic Area 2 through shared terms: advanced materials, critical materials, semiconductors."
opp-doe-cmma-ta2-2026,Critical Minerals & Materials Accelerator Topic Area 2,U.S. Department of Energy,fac-wan-shou,Wan Shou,0.286,manufacturing; process technology,"Wan Shou matches Critical Minerals & Materials Accelerator Topic Area 2 through shared terms: manufacturing, process technology."
opp-doe-cmma-ta2-2026,Critical Minerals & Materials Accelerator Topic Area 2,U.S. Department of Energy,fac-wenchao-zhou,Wenchao Zhou,0.286,manufacturing; process technology,"Wenchao Zhou matches Critical Minerals & Materials Accelerator Topic Area 2 through shared terms: manufacturing, process technology."
opp-doe-cmma-ta2-2026,Critical Minerals & Materials Accelerator Topic Area 2,U.S. Department of Energy,fac-paul-millett,Paul Millett,0.143,critical materials,Paul Millett matches Critical Minerals & Materials Accelerator Topic Area 2 through shared terms: critical materials.
opp-doe-cmma-ta3-2026,Critical Minerals & Materials Accelerator Topic Area 3,U.S. Department of Energy,fac-xiangbo-meng,Xiangbo Meng,0.286,critical materials; lithium extraction,"Xiangbo Meng matches Critical Minerals & Materials Accelerator Topic Area 3 through shared terms: critical materials, lithium extraction."
opp-doe-cmma-ta3-2026,Critical Minerals & Materials Accelerator Topic Area 3,U.S. Department of Energy,fac-darin-nutter,Darin Nutter,0.143,technoeconomic analysis,Darin Nutter matches Critical Minerals & Materials Accelerator Topic Area 3 through shared terms: technoeconomic analysis.
opp-doe-cmma-ta3-2026,Critical Minerals & Materials Accelerator Topic Area 3,U.S. Department of Energy,fac-min-zou,Min Zou,0.143,critical materials,Min Zou matches Critical Minerals & Materials Accelerator Topic Area 3 through shared terms: critical materials.
opp-doe-cmma-ta3-2026,Critical Minerals & Materials Accelerator Topic Area 3,U.S. Department of Energy,fac-paul-millett,Paul Millett,0.143,critical materials,Paul Millett matches Critical Minerals & Materials Accelerator Topic Area 3 through shared terms: critical materials.
opp-doe-sc-sbir-phaseii-2026,FY26 SBIR/STTR Phase II Applications from FY26 Phase I Awards,U.S. Department of Energy Office of Science,fac-david-huitink,David Huitink,0.125,materials,David Huitink matches FY26 SBIR/STTR Phase II Applications from FY26 Phase I Awards through shared terms: materials.
opp-doe-sc-sbir-phaseii-2026,FY26 SBIR/STTR Phase II Applications from FY26 Phase I Awards,U.S. Department of Energy Office of Science,fac-han-hu,Han Hu,0.125,instrumentation,Han Hu matches FY26 SBIR/STTR Phase II Applications from FY26 Phase I Awards through shared terms: instrumentation.
opp-doe-sc-sbir-phaseii-2026,FY26 SBIR/STTR Phase II Applications from FY26 Phase I Awards,U.S. Department of Energy Office of Science,fac-min-zou,Min Zou,0.125,materials,Min Zou matches FY26 SBIR/STTR Phase II Applications from FY26 Phase I Awards through shared terms: materials.
opp-doe-sc-sbir-phaseii-2026,FY26 SBIR/STTR Phase II Applications from FY26 Phase I Awards,U.S. Department of Energy Office of Science,fac-wenchao-zhou,Wenchao Zhou,0.125,materials,Wenchao Zhou matches FY26 SBIR/STTR Phase II Applications from FY26 Phase I Awards through shared terms: materials.
opp-doe-sc-sbir-phaseii-2026,FY26 SBIR/STTR Phase II Applications from FY26 Phase I Awards,U.S. Department of Energy Office of Science,fac-xiangbo-meng,Xiangbo Meng,0.125,energy,Xiangbo Meng matches FY26 SBIR/STTR Phase II Applications from FY26 Phase I Awards through shared terms: energy.
opp-nasa-roses-2025-rapid-response,ROSES-2025 Rapid Response and Novel Research in Earth Science,NASA,fac-neelakshi-majumdar,Neelakshi Majumdar,0.25,nasa; sensing,"Neelakshi Majumdar matches ROSES-2025 Rapid Response and Novel Research in Earth Science through shared terms: nasa, sensing."
opp-nasa-roses-2025-rapid-response,ROSES-2025 Rapid Response and Novel Research in Earth Science,NASA,fac-anthony-gunderman,Anthony Gunderman,0.125,sensing,Anthony Gunderman matches ROSES-2025 Rapid Response and Novel Research in Earth Science through shared terms: sensing.
opp-nasa-roses-2026-smex,Astrophysics Explorers Program 2026 SMEX AO,NASA,fac-neelakshi-majumdar,Neelakshi Majumdar,0.667,aerospace systems; mission design; nasa; systems engineering,"Neelakshi Majumdar matches Astrophysics Explorers Program 2026 SMEX AO through shared terms: aerospace systems, mission design, nasa, systems engineering."
opp-nasa-roses-2026-smex,Astrophysics Explorers Program 2026 SMEX AO,NASA,fac-anthony-gunderman,Anthony Gunderman,0.333,aerospace systems; systems engineering,"Anthony Gunderman matches Astrophysics Explorers Program 2026 SMEX AO through shared terms: aerospace systems, systems engineering."
opp-nasa-roses-2026-smex,Astrophysics Explorers Program 2026 SMEX AO,NASA,fac-david-jensen,David Jensen,0.167,systems engineering,David Jensen matches Astrophysics Explorers Program 2026 SMEX AO through shared terms: systems engineering.
opp-nasa-roses-2026-smex,Astrophysics Explorers Program 2026 SMEX AO,NASA,fac-han-hu,Han Hu,0.167,instrumentation,Han Hu matches Astrophysics Explorers Program 2026 SMEX AO through shared terms: instrumentation.
opp-nsf-cdse-cbet-cmmi-2026,Computational and Data-Enabled Science and Engineering (CDS&E),National Science Foundation,fac-david-jensen,David Jensen,0.375,ai; computational modeling; data-enabled science,"David Jensen matches Computational and Data-Enabled Science and Engineering (CDS&E) through shared terms: ai, computational modeling, data-enabled science."
opp-nsf-cdse-cbet-cmmi-2026,Computational and Data-Enabled Science and Engineering (CDS&E),National Science Foundation,fac-david-huitink,David Huitink,0.25,manufacturing; materials,"David Huitink matches Computational and Data-Enabled Science and Engineering (CDS&E) through shared terms: manufacturing, materials."
opp-nsf-cdse-cbet-cmmi-2026,Computational and Data-Enabled Science and Engineering (CDS&E),National Science Foundation,fac-han-hu,Han Hu,0.25,ai; machine learning,"Han Hu matches Computational and Data-Enabled Science and Engineering (CDS&E) through shared terms: ai, machine learning."
opp-nsf-cdse-cbet-cmmi-2026,Computational and Data-Enabled Science and Engineering (CDS&E),National Science Foundation,fac-min-zou,Min Zou,0.25,manufacturing; materials,"Min Zou matches Computational and Data-Enabled Science and Engineering (CDS&E) through shared terms: manufacturing, materials."
opp-nsf-cdse-cbet-cmmi-2026,Computational and Data-Enabled Science and Engineering (CDS&E),National Science Foundation,fac-paul-millett,Paul Millett,0.25,computational modeling; data-enabled science,"Paul Millett matches Computational and Data-Enabled Science and Engineering (CDS&E) through shared terms: computational modeling, data-enabled science."
opp-nsf-cdse-cbet-cmmi-2026,Computational and Data-Enabled Science and Engineering (CDS&E),National Science Foundation,fac-wenchao-zhou,Wenchao Zhou,0.25,manufacturing; materials,"Wenchao Zhou matches Computational and Data-Enabled Science and Engineering (CDS&E) through shared terms: manufacturing, materials."
opp-nsf-cdse-cbet-cmmi-2026,Computational and Data-Enabled Science and Engineering (CDS&E),National Science Foundation,fac-wan-shou,Wan Shou,0.125,manufacturing,Wan Shou matches Computational and Data-Enabled Science and Engineering (CDS&E) through shared terms: manufacturing.
opp-nsf-eclipse-2026,ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE),National Science Foundation,fac-david-huitink,David Huitink,0.286,manufacturing; materials,"David Huitink matches ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE) through shared terms: manufacturing, materials."
opp-nsf-eclipse-2026,ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE),National Science Foundation,fac-min-zou,Min Zou,0.286,manufacturing; materials,"Min Zou matches ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE) through shared terms: manufacturing, materials."
opp-nsf-eclipse-2026,ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE),National Science Foundation,fac-wenchao-zhou,Wenchao Zhou,0.286,manufacturing; materials,"Wenchao Zhou matches ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE) through shared terms: manufacturing, materials."
opp-nsf-eclipse-2026,ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE),National Science Foundation,fac-wan-shou,Wan Shou,0.143,manufacturing,Wan Shou matches ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE) through shared terms: manufacturing.
opp-nsf-eclipse-2026,ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE),National Science Foundation,fac-xiangbo-meng,Xiangbo Meng,0.143,energy,Xiangbo Meng matches ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE) through shared terms: energy.
opp-nsf-fluid-dynamics-2026,Fluid Dynamics,National Science Foundation,fac-han-hu,Han Hu,0.6,ai; bubble dynamics; flow diagnostics; instrumentation; machine learning; multiphase flow,"Han Hu matches Fluid Dynamics through shared terms: ai, bubble dynamics, flow diagnostics, instrumentation, machine learning, multiphase flow."
opp-nsf-fluid-dynamics-2026,Fluid Dynamics,National Science Foundation,fac-david-jensen,David Jensen,0.1,ai,David Jensen matches Fluid Dynamics through shared terms: ai.
